scenario,scope,status,lcof_usd_per_kg,lcof_usd_per_litre,lcof_usd_per_us_gallon,gross_lcof_usd_per_kg,annual_net_cost_usd,annual_gross_cost_usd,installed_capex_usd,annual_saf_kg,annual_h2_kg,annual_co2_captured_tonnes,coproduct_net_revenue_usd_per_year,fossil_jet_benchmark_usd_per_kg,fossil_jet_observed_on,premium_to_fossil_jet_usd_per_kg,solar_curtailment_fraction,annual_electricity_consumption_kwh_per_kg_saf,battery_duration_hours
current_base,FULL HISTORICAL CALENDAR YEAR,optimal,11.75681411347789,9.405451290782313,35.603506149965376,12.318292526231925,1175681411.347789,1231829252.6231925,9652499565.832603,99999999.99999924,71354838.7096769,651364.7642679851,56147841.27540466,1.4334635991084028,2026-09-09,10.323350514369487,0.06904262376022179,65.38758449947342,6.430203983486124
capital_low_20pct,FULL HISTORICAL CALENDAR YEAR,optimal,9.58913482505066,7.671307860040528,29.03905917208924,10.150613237804718,958913482.505066,1015061323.7804718,7721328169.93085,99999999.9999994,71354838.709677,651364.7642679862,56147841.27540466,1.4334635991084028,2026-09-09,8.155671225942257,0.0673042950224352,65.38758449947352,6.438486826531659
capital_high_20pct,FULL HISTORICAL CALENDAR YEAR,optimal,13.924228348506421,11.139382678805138,42.167150458834456,14.485706761260488,1392422834.8506422,1448570676.1260488,11584312592.42496,99999999.99999934,71354838.70967695,651364.7642679857,56147841.27540466,1.4334635991084028,2026-09-09,12.490764749398018,0.07083637982285085,65.38758449947348,6.379524337927381
dac_capital_half,FULL HISTORICAL CALENDAR YEAR,optimal,10.784828285170587,8.62786262813647,32.660012863281,11.346306697924645,1078482828.5170586,1134630669.7924645,8923290188.887407,99999999.99999939,71354838.70967701,651364.7642679862,56147841.27540466,1.4334635991084028,2026-09-09,9.351364686062183,0.06587360061440811,65.38879899103694,5.310420655792649
dac_capital_double,FULL HISTORICAL CALENDAR YEAR,optimal,13.317326613996462,10.65386129119717,40.32925207679922,13.878805026750474,1331732661.3996463,1387880502.6750474,10832971844.345316,99999999.99999942,71354838.70967701,651364.7642679863,56147841.27540466,1.4334635991084028,2026-09-09,11.883863014888059,0.08354619658196487,65.38758449947352,6.096370623683953
oxygen_100kt_offtake,FULL HISTORICAL CALENDAR YEAR,optimal,11.71437811347789,9.371502490782312,35.47499596239271,12.318292526231925,1171437811.347789,1231829252.6231925,9652499565.832603,99999999.99999924,71354838.7096769,651364.7642679851,60391441.27540466,1.4334635991084028,2026-09-09,10.280914514369487,0.06904262376022179,65.38758449947342,6.430203983486124
no_coproduct_sales,FULL HISTORICAL CALENDAR YEAR,optimal,12.318292526231938,9.85463402098555,37.303847750046,12.318292526231925,1231829252.6231937,1231829252.6231925,9652499565.832603,99999999.99999924,71354838.7096769,651364.7642679851,0.0,1.4334635991084028,2026-09-09,10.884828927123534,0.06904262376022179,65.38758449947342,6.430203983486124
legacy_ft_heat_kwh_basis,FULL HISTORICAL CALENDAR YEAR,optimal,11.172823266289992,8.938258613031994,33.83498948221081,11.734301679044048,1117282326.6289992,1173430167.9044049,9165679093.121252,99999999.9999992,71354838.70967688,651364.7642679849,56147841.27540466,1.4334635991084028,2026-09-09,9.739359667181589,0.07044397049828262,61.298637092553676,6.13598097758041
