product,produced_kg_per_year,sold_kg_per_year,unsold_kg_per_year,price_usd_per_kg,revenue_usd_per_year,conditioning_usd_per_year,net_revenue_usd_per_year,price_status
naphtha,29032258.064516127,26129032.258064516,2903225.806451611,0.678976,17740985.806451615,0.0,17740985.806451615,unverified_legacy_assumption
diesel,20967741.935483873,18870967.741935488,2096774.193548385,1.5196182821363966,28676667.582251363,0.0,28676667.582251363,observed_proxy
wax,8064516.129032259,7258064.516129033,806451.6129032262,1.16699,8470088.70967742,0.0,8470088.70967742,unverified_legacy_assumption
lpg,3225806.4516129033,2903225.806451613,322580.6451612902,0.4340341609750249,1260099.177024266,0.0,1260099.177024266,observed_proxy
oxygen,570838709.6774195,100000000.0,470838709.67741954,0.07426300000000001,7426300.000000001,3182700.0,4243600.000000001,unverified_legacy_assumption
